"ID";"指示符";"封装";"数量";"名称";"供应商和参考";
1;"L4";"L_0402_1005Metric";1;"24nH";;;
2;"U6";"SOT-23-5";1;"SPX3819M5-L-3-3";;;
3;"R20,R8,R2,R6,R21,R1,R3,R17,R22";"R_0402_1005Metric";9;"10k";;;
4;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
5;"J6";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04_MountingPin";;;
6;"D1";"LED_0603_1608Metric";1;"LED-GREEN";;;
7;"C4,C5";"C_0402_1005Metric";2;"15pF";;;
8;"C18,C19,C29,C11,C9,C22";"C_0603_1608Metric";6;"1uF";;;
9;"SW1,SW2";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";2;"SW_Push";;;
10;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
11;"R4,R14,R5";"R_0402_1005Metric";3;"0R";;;
12;"J1";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";1;"XT30PW-M";;;
13;"C2";"C_0402_1005Metric";1;"1pF";;;
14;"C40,C8,C14,C43,C15,C13,C16,C10,C45,C12,C26,C23,C35,C33,C21,C34,C25";"C_0402_1005Metric";17;"100nF";;;
15;"L1";"L_0402_1005Metric";1;"DNI";;;
16;"C17,C27";"C_0402_1005Metric";2;"10nF";;;
17;"U1,U2";"TSOT-23";2;"S8050";;;
18;"D2";"D_SMB";1;"SMBJ24CA";;;
19;"J3";"JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal";1;"Conn_01x02_MountingPin";;;
20;"L3";"L_0402_1005Metric";1;"2.2nH";;;
21;"C1";"C_0402_1005Metric";1;"DNI";;;
22;"C6,C36";"C_0402_1005Metric";2;"1uF";;;
23;"U4";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.1x1.1mm";1;"CH343P";;;
24;"AE1";"AN2051";1;"Antenna_Chip";;;
25;"U10,U11";"TSSOP-8_4.4x3mm_P0.65mm";2;"INA240A2PW";;;
26;"R23,R24";"R_1206_3216Metric";2;"0.01R";;;
27;"R7";"R_0402_1005Metric";1;"499R";;;
28;"C3";"C_0402_1005Metric";1;"1.8pF";;;
29;"D3";"LED_0603_1608Metric";1;"LED-RED";;;
30;"U9";"DRV8313PWP";1;"DRV8313PWP";;;
31;"C38,C20,C7,C31,C44,C24";"C_1206_3216Metric";6;"10uF";;;
32;"U3";"QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm";1;"ESP32-S3FN8";;;
33;"D4";"D_SOD-323";1;"1N5819WS";;;
34;"L2";"L_0402_1005Metric";1;"1.8nH";;;
35;"U12";"TSSOP-14_4.4x5mm_P0.65mm";1;"AS5048A";;;
36;"L5";"L_0603_1608Metric";1;"2.2nH 500mA";;;
37;"C30,C28";"C_1206_3216Metric";2;"22uF";;;
38;"R18,R19";"R_0402_1005Metric";2;"60R";;;
39;"J4";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"Conn_01x03_MountingPin";;;
40;"C42";"C_0805_2012Metric";1;"10nF 100V";;;
41;"R16,R15";"R_0402_1005Metric";2;"5.1k";;;
42;"C32";"C_0402_1005Metric";1;"75pF";;;
43;"R11";"R_0402_1005Metric";1;"49R9";;;
44;"U8";"TJA1050T";1;"TJA1050T";;;
45;"C37";"C_0402_1005Metric";1;"47nF";;;
46;"L6";"L_7.3x7.3_H3.5";1;"15uH 2A";;;
47;"R10";"R_0402_1005Metric";1;"105k";;;
48;"R12";"R_0402_1005Metric";1;"100k";;;
49;"R13";"R_0402_1005Metric";1;"13k3";;;
50;"U7";"SOT-89-3";1;"AMS1117-3.3";;;
51;"R9";"R_0402_1005Metric";1;"511k";;;
52;"U5";"SOT-23-6";1;"TPS54202DDC";;;
